sleep_duration,bedtime_hour,wake_hour,caffeine_intake,exercise_duration,screen_time,stress_level,mood,sleep_interruptions,water_intake,daily_steps,age,gender,bmi,sleep_quality
7.15,23.69,6.84,Moderate,120.0,31.2,7,Happy,Yes,2.96,3687,30,Female,26.9,Average
6.32,22.86,5.18,None,15.0,18.1,8,Happy,Yes,2.2,6791,44,Male,24.1,Poor
7.34,23.68,7.02,None,11.0,61.6,8,Happy,Yes,2.37,3449,34,Male,23.3,Average
8.48,0.31,8.79,High,12.8,122.9,1,Happy,No,1.8,5846,48,Male,22.6,Good
6.2,23.57,5.77,Low,3.1,81.1,8,Happy,No,3.0,2942,32,Male,22.8,Average
6.2,23.56,5.76,None,53.7,69.1,6,Happy,No,3.06,2627,37,Female,25.6,Good
8.55,22.45,7.0,Moderate,13.4,92.0,4,Neutral,No,2.17,8020,22,Female,24.8,Good
7.5,22.51,6.01,Moderate,12.2,11.4,6,Happy,No,1.79,5261,24,Male,23.4,Average
5.89,21.4,3.29,Moderate,26.9,112.3,8,Anxious,No,1.07,5543,35,Female,28.8,Poor
7.21,2.0,9.21,Low,14.6,107.3,7,Happy,Yes,1.59,5100,28,Male,15.0,Average
5.9,21.63,3.53,None,26.1,71.6,5,Happy,No,0.68,15169,49,Male,25.3,Good
5.89,22.46,4.35,High,1.6,135.3,3,Neutral,Yes,1.56,8822,44,Female,26.0,Poor
6.81,22.42,5.23,Low,42.0,39.3,0,Happy,Yes,2.45,9144,43,Male,27.5,Good
4.01,0.84,4.85,Moderate,70.5,140.8,5,Sad,No,2.16,4674,54,Female,23.3,Poor
4.26,23.06,3.32,Moderate,26.2,97.0,2,Happy,No,3.83,8514,62,Male,24.2,Poor
5.77,1.37,7.14,Moderate,77.3,74.9,5,Anxious,No,1.94,6317,45,Male,27.0,Poor
5.18,22.49,3.67,Low,4.1,89.1,5,Anxious,No,1.89,4650,19,Male,28.7,Poor
6.91,23.92,6.83,Low,16.2,85.2,3,Neutral,No,2.94,12787,37,Male,22.4,Good
5.32,22.25,3.57,Moderate,23.0,144.9,1,Neutral,No,0.85,8718,21,Female,24.4,Average
4.66,2.0,6.66,High,21.8,41.5,8,Neutral,No,1.16,8567,30,Male,29.4,Poor
8.41,21.72,6.13,High,12.8,55.7,1,Neutral,No,2.66,4085,41,Female,16.1,Good
6.21,23.96,6.17,None,10.3,136.6,2,Neutral,No,2.06,3189,55,Female,21.1,Average
6.59,0.45,7.04,None,3.4,63.2,9,Happy,Yes,2.08,6827,57,Male,28.6,Average
4.65,0.12,4.77,High,12.4,130.5,0,Happy,Yes,1.54,5279,62,Female,27.3,Poor
5.79,23.22,5.01,Moderate,4.4,166.5,6,Neutral,No,2.37,8838,46,Male,25.3,Poor
6.64,23.31,5.95,High,33.1,71.9,0,Neutral,Yes,1.63,9038,53,Female,21.9,Average
5.0,23.57,4.57,None,5.9,120.7,10,Anxious,No,2.25,7197,19,Female,20.4,Poor
6.99,23.28,6.27,Moderate,1.5,38.1,8,Happy,Yes,1.39,9483,58,Male,21.4,Poor
5.72,0.95,6.67,Moderate,20.1,124.0,10,Sad,Yes,2.07,7580,35,Male,28.9,Poor
6.12,2.0,8.12,Moderate,22.6,99.0,10,Happy,No,3.62,4385,25,Female,21.3,Poor
5.72,22.66,4.38,Low,51.4,111.3,0,Neutral,No,1.9,6405,32,Male,23.9,Good
8.91,21.45,6.36,None,21.5,60.9,4,Happy,Yes,2.11,7407,58,Male,20.9,Good
6.48,23.37,5.85,Moderate,10.6,15.3,6,Neutral,No,2.06,9787,34,Female,26.4,Average
5.12,2.0,7.12,Low,40.6,112.6,2,Happy,No,2.32,7675,40,Female,21.6,Good
